demand_id,buyer_id,crop,variety,required_quantity_tons,maximum_price_per_quintal,description,demand_date,required_by_date,cluster,district,taluka,village
D1867,B1338,Field Beans,Local Konkan landrace,9.86,4216.83,Need consistent Field Beans supply for ongoing operations.,2026-08-01,2026-08-28,Konkan,Raigad,Poladpur,Adavale Bk.
D1868,B2044,Tur,Not Specified,50.99,6030.62,Need consistent Tur supply for ongoing operations.,2026-05-13,2026-06-12,Marathwada,Beed,Ambajogai,Bardapur
D1869,B1111,Wheat,Not Specified,37.54,2711.55,Looking for fresh Wheat for wholesale procurement.,2026-07-19,2026-09-28,Marathwada,Nanded,Hadgaon,Niwdha
D1870,B3613,Tur,Not Specified,19.99,8598.51,Need consistent Tur supply for ongoing operations.,2026-08-24,2026-11-29,Khandesh,Jalgaon,Raver,Ainpur
D1871,B2817,Ragi,Not Specified,35.11,4321.54,Bulk Ragi requirement for processing.,2026-05-25,2026-09-06,Konkan,Palghar,Jawhar,Vavar
D1872,B2459,Mango (Alphonso),Not Specified,34.12,9114.74,Looking to procure Mango (Alphonso) for institutional buyers.,2026-05-28,2026-06-27,Konkan,Ratnagiri,Lanja,Shirambavali
D1873,B2395,Sunflower,Not Specified,75.31,5332.34,"Standing requirement for Sunflower, quantity flexible based on quality.",2026-08-26,2026-11-22,Vidarbha,Buldhana,Shegaon,Matargaon Bk.
D1874,B0131,Areca Nut,Not Specified,23.8,58796.55,Requirement raised for Areca Nut to meet upcoming production schedule.,2026-08-16,2026-09-07,Konkan,Ratnagiri,Mandangad,Kondgaon
D1875,B4206,Rice,Kolam,87.42,3276.69,Requirement raised for Rice to meet upcoming production schedule.,2026-08-21,2026-09-21,Konkan,Thane,Murbad,Deogaon
D1876,B1957,Gram,Not Specified,25.82,6953.83,Requirement raised for Gram to meet upcoming production schedule.,2026-05-05,2026-09-02,Marathwada,Latur,Shirur Anantpal,Ajani Bk.
D1877,B3753,Cotton,Not Specified,29.39,7718.28,"Standing requirement for Cotton, quantity flexible based on quality.",2026-04-30,2026-08-06,Western Maharashtra (Desh),Solapur,Mangalvedhe,Nandeshwar
D1878,B0158,Coconut,Dwarf Green,33.64,4172.29,Looking for fresh Coconut for wholesale procurement.,2026-08-01,2026-08-28,Konkan,Sindhudurg,Vengurla,Parule
D1879,B3074,Soybean,MAUS 71,62.1,6965.62,Buyer looking to purchase Soybean directly from farmers.,2026-08-02,2026-09-12,Vidarbha,Washim,Karanja,Bhambdevi
D1880,B2837,Bajra,Not Specified,43.95,3302.07,Sourcing Bajra in bulk for our processing unit.,2026-05-11,2026-08-01,Khandesh,Nashik,Surgana,Dodopada
D1881,B0695,Tur,Not Specified,67.04,8486.81,Bulk Tur requirement for processing.,2026-05-02,2026-06-12,Vidarbha,Chandrapur,Pombhurna,Ashta
D1882,B0877,Linseed,NL-97,28.38,5906.36,"Procurement need for good quality Linseed, open to multiple sellers.",2026-08-10,2026-09-13,Vidarbha,Gadchiroli,Aheri,Chhallewada
D1883,B0080,Areca Nut,Not Specified,28.64,41411.74,"Standing requirement for Areca Nut, quantity flexible based on quality.",2026-05-09,2026-06-17,Konkan,Sindhudurg,Malwan,Waghavane
D1884,B2711,Rice,Not Specified,19.87,3512.72,Sourcing Rice for export-quality grading and packaging.,2026-05-20,2026-09-17,Konkan,Raigad,Shrivardhan,Adgaon
D1885,B0665,Jowar,CSH-16,8.86,5794.36,"Procurement need for good quality Jowar, open to multiple sellers.",2026-05-30,2026-09-23,Western Maharashtra (Desh),Pune,Khed,Amboli
D1886,B0651,Sugarcane,Phule 265,331.21,452.47,"Procurement need for good quality Sugarcane, open to multiple sellers.",2026-08-02,2026-10-29,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Kannad,Chincholi (L)
D1887,B1525,Cashew,Konkan Kalpa,18.48,18848.0,Bulk Cashew requirement for processing.,2026-05-25,2026-06-16,Konkan,Sindhudurg,Malwan,Devli
D1888,B2157,Groundnut,Phule Unnati,54.01,8076.91,Bulk Groundnut requirement for processing.,2026-05-27,2026-08-01,Western Maharashtra (Desh),Pune,Maval,Adhale Bk.
D1889,B1866,Maize,Pratap Hybrid-1,27.7,2189.44,Looking to procure Maize for institutional buyers.,2026-06-10,2026-08-28,Khandesh,Jalgaon,Erandol,Anandnagar
D1890,B2056,Areca Nut,Not Specified,28.61,46473.42,Looking to procure Areca Nut for institutional buyers.,2026-08-20,2026-09-15,Konkan,Ratnagiri,Rajapur,Avali Chiwadi
D1891,B2306,Linseed,Not Specified,10.94,5678.48,Requirement raised for Linseed to meet upcoming production schedule.,2026-08-21,2026-09-22,Vidarbha,Gadchiroli,Mulchera,Lagam
D1892,B3524,Areca Nut,Sumangala,4.67,52184.51,Bulk Areca Nut requirement for processing.,2026-06-15,2026-07-18,Konkan,Sindhudurg,Devgad,Jamsande
D1893,B0540,Sunflower,Not Specified,59.82,6075.61,Requirement raised for Sunflower to meet upcoming production schedule.,2026-08-06,2026-10-31,Vidarbha,Buldhana,Motala,Motala
D1894,B3035,Sugarcane,CoM 0265,222.62,645.39,"Procurement need for good quality Sugarcane, open to multiple sellers.",2026-06-02,2026-07-18,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Shrirampur,Takalibhan
D1895,B0350,Mango (Alphonso),Not Specified,17.58,27346.48,Requirement raised for Mango (Alphonso) to meet upcoming production schedule.,2026-08-22,2026-09-26,Konkan,Ratnagiri,Rajapur,Avali Chiwadi
D1896,B3799,Field Beans,Not Specified,20.37,3169.27,Sourcing Field Beans for export-quality grading and packaging.,2026-08-07,2026-09-12,Konkan,Raigad,Murud,Abitghar
D1897,B0201,Wheat,Not Specified,57.22,2576.0,Looking to procure Wheat for institutional buyers.,2026-05-21,2026-07-31,Marathwada,Nanded,Hadgaon,Palsa
D1898,B0115,Groundnut,Phule Unnati,18.25,8949.13,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-05-13,2026-07-27,Western Maharashtra (Desh),Pune,Baramati,Anjangaon
D1899,B3869,Groundnut,SB-11,21.29,7339.66,Seeking regular Groundnut supply from nearby farmers.,2026-06-13,2026-09-16,Khandesh,Nashik,Igatpuri,Bortembhe
D1900,B2275,Mango (Alphonso),Ratna,24.01,18317.47,Buyer looking to purchase Mango (Alphonso) directly from farmers.,2026-08-24,2026-09-13,Konkan,Sindhudurg,Malwan,Kalethar
D1901,B3993,Mango (Alphonso),Not Specified,6.16,29277.86,Bulk Mango (Alphonso) requirement for processing.,2026-08-24,2026-10-03,Konkan,Sindhudurg,Devgad,Padel
D1902,B2371,Linseed,Sharda,60.58,7529.11,Buyer looking to purchase Linseed directly from farmers.,2026-07-08,2026-09-10,Vidarbha,Gondia,Salekasa,Tirkhedi
D1903,B1300,Maize,Ganga Safed-2,52.91,2206.98,Bulk Maize requirement for processing.,2026-07-21,2026-10-21,Khandesh,Dhule,Sakri,Kasare
D1904,B2310,Turmeric,Rajapuri,25.8,17871.52,Requirement raised for Turmeric to meet upcoming production schedule.,2026-07-17,2026-08-26,Western Maharashtra (Desh),Sangli,Tasgaon,Alate
D1905,B0518,Sugarcane,Co 94012,274.7,354.14,Requirement raised for Sugarcane to meet upcoming production schedule.,2026-07-31,2026-10-04,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Kopargaon,Suregaon
D1906,B3901,Groundnut,Not Specified,44.56,7626.24,Requirement raised for Groundnut to meet upcoming production schedule.,2026-08-01,2026-09-11,Vidarbha,Washim,Karanja,Belkhed
D1907,B2637,Sunflower,Not Specified,49.0,7941.14,Sourcing Sunflower for export-quality grading and packaging.,2026-07-20,2026-09-13,Vidarbha,Buldhana,Lonar,Sultanpur
D1908,B2041,Coconut,T x D hybrid,33.18,3925.4,Bulk Coconut requirement for processing.,2026-06-24,2026-07-13,Konkan,Sindhudurg,Malwan,Kalethar
D1909,B2635,Jowar,Phule Vasudha,39.47,6260.27,Sourcing Jowar for export-quality grading and packaging.,2026-06-07,2026-08-28,Western Maharashtra (Desh),Pune,Junnar,Agar
D1910,B3192,Coconut,Not Specified,29.95,3787.23,Seeking regular Coconut supply from nearby farmers.,2026-06-21,2026-07-04,Konkan,Sindhudurg,Devgad,Padel
D1911,B3881,Mango (Alphonso),Alphonso (Hapus),14.89,26039.25,Need consistent Mango (Alphonso) supply for ongoing operations.,2026-07-16,2026-08-12,Konkan,Sindhudurg,Kankavli,Bandargaon
D1912,B2622,Turmeric,Rajapuri,20.22,14562.35,Looking to procure Turmeric for institutional buyers.,2026-05-27,2026-06-13,Western Maharashtra (Desh),Sangli,Walwa,Ahirwadi
D1913,B2422,Bajra,Not Specified,55.76,2534.23,Inviting offers for Bajra from farmers in the region.,2026-06-10,2026-08-22,Marathwada,Beed,Shirur-Kasar,Shirur
D1914,B3466,Vari,Not Specified,68.17,3837.46,"Procurement need for good quality Vari, open to multiple sellers.",2026-05-20,2026-06-17,Konkan,Thane,Thane,Adavli
D1915,B0237,Linseed,Not Specified,50.36,5718.27,Need consistent Linseed supply for ongoing operations.,2026-08-09,2026-09-21,Vidarbha,Gadchiroli,Dhanora,Dhanora
D1916,B3660,Udid,Not Specified,45.78,8336.92,Requirement raised for Udid to meet upcoming production schedule.,2026-05-15,2026-07-14,Konkan,Thane,Shahapur,Cherpoli
D1917,B3736,Maize,Pratap Hybrid-1,37.89,1927.8,Seeking regular Maize supply from nearby farmers.,2026-06-15,2026-07-12,Khandesh,Nashik,Kalwan,Manur
D1918,B1016,Mango (Alphonso),Pairi,22.24,15227.93,Requirement raised for Mango (Alphonso) to meet upcoming production schedule.,2026-08-15,2026-09-18,Konkan,Raigad,Alibag,Agarsure
D1919,B4507,Chickoo,Kalipatti,23.77,2822.41,Requirement raised for Chickoo to meet upcoming production schedule.,2026-07-23,2026-08-04,Konkan,Palghar,Talasari,Vasa
D1920,B2318,Banana,Shrimanti,5.16,3412.56,Sourcing Banana for export-quality grading and packaging.,2026-08-03,2026-08-21,Khandesh,Jalgaon,Yawal,Aklud
D1921,B4069,Field Beans,Konkan Val landrace,9.23,3037.08,Seeking regular Field Beans supply from nearby farmers.,2026-08-23,2026-09-17,Konkan,Raigad,Tala,Bamanghar
D1922,B0753,Chickoo,Not Specified,33.77,2680.29,Buyer looking to purchase Chickoo directly from farmers.,2026-06-18,2026-07-02,Konkan,Thane,Thane,Adavli
D1923,B4035,Udid,BDU-1,43.73,8488.37,Buyer looking to purchase Udid directly from farmers.,2026-08-01,2026-11-04,Konkan,Thane,Bhiwandi,Ambardi
D1924,B0733,Bajra,Not Specified,37.25,2326.01,Sourcing Bajra in bulk for our processing unit.,2026-06-02,2026-07-04,Marathwada,Jalna,Mantha,Pangri (Gosavi)
D1925,B4569,Cashew,Vengurla-4,19.65,14238.48,"Procurement need for good quality Cashew, open to multiple sellers.",2026-08-24,2026-09-11,Konkan,Sindhudurg,Vaibhavwadi,Nadhavade
D1926,B4101,Soybean,MACS 1281,55.93,6595.94,Looking for fresh Soybean for wholesale procurement.,2026-07-10,2026-09-10,Marathwada,Latur,Ahmedpur,Shirur Tajband
D1927,B4033,Gram,Vijay,44.72,4793.4,"Standing requirement for Gram, quantity flexible based on quality.",2026-05-04,2026-06-27,Marathwada,Latur,Ahmedpur,Kingaon
D1928,B4774,Bajra,Saburi,53.59,3544.4,Requirement raised for Bajra to meet upcoming production schedule.,2026-07-10,2026-08-25,Western Maharashtra (Desh),Pune,Purandhar,Ambale
D1929,B3254,Turmeric,Selam,3.76,15484.77,"Standing requirement for Turmeric, quantity flexible based on quality.",2026-06-09,2026-07-24,Western Maharashtra (Desh),Sangli,Walwa,Bahe
D1930,B3067,Maize,DHM-117,62.72,2548.14,Sourcing Maize in bulk for our processing unit.,2026-06-17,2026-08-22,Khandesh,Dhule,Sakri,Kasare
D1931,B2133,Jowar,Maldandi,38.73,4313.02,Looking to procure Jowar for institutional buyers.,2026-07-29,2026-10-13,Vidarbha,Yavatmal,Kalamb,Dongarkharda
D1932,B1677,Cotton,Ajeet-155 Bt,32.86,7915.77,"Procurement need for good quality Cotton, open to multiple sellers.",2026-05-29,2026-09-03,Vidarbha,Buldhana,Motala,Dhamangaon Badhe
D1933,B2447,Linseed,Not Specified,45.38,7736.52,Sourcing Linseed in bulk for our processing unit.,2026-06-20,2026-07-21,Vidarbha,Gadchiroli,Aheri,Chhallewada
D1934,B1883,Turmeric,Not Specified,27.92,11695.47,Inviting offers for Turmeric from farmers in the region.,2026-05-02,2026-05-12,Western Maharashtra (Desh),Sangli,Miraj,Arag
D1935,B1773,Maize,Not Specified,64.38,1973.39,Sourcing Maize for export-quality grading and packaging.,2026-06-24,2026-08-29,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Khuldabad,Takali
D1936,B3751,Udid,Not Specified,48.89,6983.86,Need consistent Udid supply for ongoing operations.,2026-07-06,2026-10-15,Konkan,Palghar,Vikramgad,Balapur
D1937,B2338,Gram,Not Specified,52.42,6822.02,Bulk Gram requirement for processing.,2026-07-23,2026-08-17,Marathwada,Latur,Udgir,Kiniyalladevi
D1938,B0256,Rice,Not Specified,83.43,5488.48,Looking for fresh Rice for wholesale procurement.,2026-06-13,2026-08-25,Vidarbha,Nagpur,Umred,Amboli
D1939,B4654,Sugarcane,Not Specified,113.83,412.63,Looking to procure Sugarcane for institutional buyers.,2026-05-27,2026-08-14,Vidarbha,Bhandara,Sakoli,Sendurwafa
D1940,B3055,Areca Nut,Sumangala,25.9,40244.91,Looking for fresh Areca Nut for wholesale procurement.,2026-08-20,2026-09-18,Konkan,Ratnagiri,Rajapur,Avali Chiwadi
D1941,B1162,Sugarcane,Co 86032,125.45,511.73,Looking to procure Sugarcane for institutional buyers.,2026-08-11,2026-11-04,Western Maharashtra (Desh),Pune,Mulshi,Admal
D1942,B1431,Chickoo,Cricket Ball,26.18,2970.3,"Standing requirement for Chickoo, quantity flexible based on quality.",2026-08-01,2026-08-28,Konkan,Thane,Ambarnath,Chinchpada
D1943,B2213,Ragi,Phule Nachani,19.14,4049.71,Seeking regular Ragi supply from nearby farmers.,2026-05-31,2026-08-14,Konkan,Palghar,Vasai,Arnala
D1944,B3092,Sunflower,Phule Raviraj,39.23,6537.45,Seeking regular Sunflower supply from nearby farmers.,2026-08-25,2026-12-01,Vidarbha,Buldhana,Shegaon,Matargaon Bk.
D1945,B0361,Areca Nut,Not Specified,36.02,55714.74,Sourcing Areca Nut for export-quality grading and packaging.,2026-06-09,2026-07-19,Konkan,Ratnagiri,Khed,Tulashi Bk.
D1946,B1661,Jowar,Not Specified,10.24,3569.96,"Procurement need for good quality Jowar, open to multiple sellers.",2026-06-03,2026-08-24,Western Maharashtra (Desh),Pune,Pune City,Keshavnagar-Mundwa
D1947,B0016,Maize,Not Specified,11.27,2347.79,Buyer looking to purchase Maize directly from farmers.,2026-07-16,2026-11-07,Khandesh,Jalgaon,Erandol,Anandnagar
D1948,B4003,Maize,Not Specified,54.96,2535.92,Sourcing Maize in bulk for our processing unit.,2026-06-21,2026-09-30,Khandesh,Dhule,Sindkheda,Betawad
D1949,B3009,Soybean,MACS 1281,42.57,5631.62,Requirement raised for Soybean to meet upcoming production schedule.,2026-08-04,2026-11-06,Marathwada,Nanded,Mudkhed,Mugat
D1950,B1194,Sugarcane,Phule 265,239.38,341.05,Buyer looking to purchase Sugarcane directly from farmers.,2026-06-22,2026-08-30,Western Maharashtra (Desh),Kolhapur,Bhudargad,Waghapur
D1951,B2396,Rice,Karjat-3,68.08,4197.44,Buyer looking to purchase Rice directly from farmers.,2026-05-12,2026-07-08,Konkan,Thane,Thane,Agasan
D1952,B1128,Field Beans,Local Konkan landrace,26.58,3950.63,Inviting offers for Field Beans from farmers in the region.,2026-08-17,2026-09-06,Konkan,Raigad,Alibag,Akshi
D1953,B0351,Wheat,NIAW-34,45.4,2801.52,Sourcing Wheat for export-quality grading and packaging.,2026-05-23,2026-08-29,Vidarbha,Yavatmal,Ner,Sonwadhona
D1954,B1143,Field Beans,Not Specified,31.62,4930.77,Buyer looking to purchase Field Beans directly from farmers.,2026-05-11,2026-06-16,Konkan,Raigad,Poladpur,Adavale Kh.
D1955,B0917,Ragi,Not Specified,21.16,3678.28,"Standing requirement for Ragi, quantity flexible based on quality.",2026-04-29,2026-08-02,Konkan,Palghar,Vasai,Bhatane
D1956,B1350,Sunflower,Not Specified,56.81,7551.67,Need consistent Sunflower supply for ongoing operations.,2026-05-16,2026-09-11,Vidarbha,Buldhana,Buldhana,Dhad
D1957,B3059,Bajra,Shraddha,42.06,4165.64,"Procurement need for good quality Bajra, open to multiple sellers.",2026-07-18,2026-11-15,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Pathardi,Tisgaon
D1958,B3343,Tur,Not Specified,71.84,6302.64,Looking to procure Tur for institutional buyers.,2026-07-03,2026-10-24,Khandesh,Nandurbar,Talode,Amoni
D1959,B1543,Chickoo,Not Specified,31.34,4243.51,Bulk Chickoo requirement for processing.,2026-07-08,2026-07-22,Konkan,Palghar,Vikramgad,Dadade
D1960,B2512,Cotton,RCH-2 Bt,27.48,8184.44,Looking to procure Cotton for institutional buyers.,2026-05-13,2026-07-01,Vidarbha,Yavatmal,Digras,Dehani
D1961,B0193,Vari,Local Bhagar landrace,17.37,3606.46,Looking to procure Vari for institutional buyers.,2026-05-10,2026-07-06,Western Maharashtra (Desh),Kolhapur,Hatkanangale,Shiroli
D1962,B3708,Sugarcane,Not Specified,277.17,408.75,Buyer looking to purchase Sugarcane directly from farmers.,2026-04-30,2026-08-09,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Pathardi,Tisgaon
D1963,B2460,Coconut,Pratap,10.98,4352.21,"Standing requirement for Coconut, quantity flexible based on quality.",2026-08-22,2026-09-03,Konkan,Sindhudurg,Kudal,Kasal
D1964,B4026,Wheat,Not Specified,39.24,2533.44,Sourcing Wheat in bulk for our processing unit.,2026-08-01,2026-10-14,Vidarbha,Wardha,Wardha,Waigaon
D1965,B4416,Sugarcane,Not Specified,277.57,493.44,Requirement raised for Sugarcane to meet upcoming production schedule.,2026-08-24,2026-12-14,Marathwada,Nanded,Hadgaon,Palsa
D1966,B4017,Banana,Not Specified,15.59,5165.44,Bulk Banana requirement for processing.,2026-07-06,2026-08-19,Khandesh,Jalgaon,Parola,Babhale Nag
D1967,B0755,Bajra,ICTP-8203,37.65,3981.95,"Procurement need for good quality Bajra, open to multiple sellers.",2026-07-21,2026-10-14,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Kopargaon,Suregaon
D1968,B0282,Tur,Vipula,58.28,8463.31,"Procurement need for good quality Tur, open to multiple sellers.",2026-07-23,2026-08-29,Marathwada,Latur,Jalkot,Belsangvi
D1969,B0085,Groundnut,Not Specified,47.07,7977.82,Looking for fresh Groundnut for wholesale procurement.,2026-08-23,2026-11-12,Western Maharashtra (Desh),Pune,Junnar,Agar
D1970,B0567,Groundnut,TAG-24,26.31,7582.58,Inviting offers for Groundnut from farmers in the region.,2026-07-27,2026-08-27,Western Maharashtra (Desh),Sangli,Tasgaon,Arwade
D1971,B2075,Sugarcane,Not Specified,416.17,458.02,Need consistent Sugarcane supply for ongoing operations.,2026-06-11,2026-07-26,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Shevgaon,Akhatwade
D1972,B0327,Sunflower,Morden,38.83,7233.83,Bulk Sunflower requirement for processing.,2026-05-29,2026-08-24,Vidarbha,Buldhana,Sangrampur,Bawanbir
D1973,B2041,Coconut,Dwarf Green,29.34,2925.42,Seeking regular Coconut supply from nearby farmers.,2026-06-01,2026-07-12,Konkan,Sindhudurg,Malwan,Kalethar
D1974,B1874,Linseed,Not Specified,52.96,7889.88,Bulk Linseed requirement for processing.,2026-05-14,2026-06-25,Vidarbha,Gadchiroli,Armori,Churmura
D1975,B1082,Sunflower,Not Specified,75.16,6843.17,Need consistent Sunflower supply for ongoing operations.,2026-07-08,2026-10-30,Vidarbha,Buldhana,Jalgaon Jamod,Asalgaon
D1976,B3523,Cashew,Vengurla-7,24.7,14873.86,Need consistent Cashew supply for ongoing operations.,2026-05-04,2026-06-10,Konkan,Sindhudurg,Malwan,Devli
D1977,B4566,Areca Nut,Not Specified,6.48,34627.11,Looking to procure Areca Nut for institutional buyers.,2026-06-20,2026-07-25,Konkan,Ratnagiri,Chiplun,Ketki
D1978,B4155,Jowar,Not Specified,69.08,6153.69,Bulk Jowar requirement for processing.,2026-05-02,2026-06-07,Khandesh,Jalgaon,Muktainagar,Anturli
D1979,B4673,Groundnut,Phule Unnati,37.47,9130.18,Requirement raised for Groundnut to meet upcoming production schedule.,2026-07-16,2026-10-10,Vidarbha,Akola,Murtajapur,Kurum
D1980,B0548,Ragi,Not Specified,24.69,3787.94,Bulk Ragi requirement for processing.,2026-07-16,2026-09-08,Konkan,Palghar,Vada,Ambiste Kh.
D1981,B1659,Turmeric,Phule Swarupa,24.13,13092.45,Requirement raised for Turmeric to meet upcoming production schedule.,2026-05-08,2026-05-18,Western Maharashtra (Desh),Sangli,Walwa,Bahe
D1982,B0924,Linseed,Parbhani Alsi,40.37,5543.77,Seeking regular Linseed supply from nearby farmers.,2026-06-15,2026-08-10,Vidarbha,Gondia,Gondia,Adashi
D1983,B3936,Tur,Not Specified,20.43,7158.02,Need consistent Tur supply for ongoing operations.,2026-05-31,2026-07-17,Khandesh,Jalgaon,Erandol,Ambe
D1984,B3178,Cashew,Not Specified,24.45,22325.46,Bulk Cashew requirement for processing.,2026-05-21,2026-06-08,Konkan,Sindhudurg,Kankavli,Waingani
D1985,B4177,Gram,Digvijay,39.96,6939.62,Bulk Gram requirement for processing.,2026-07-17,2026-09-11,Marathwada,Latur,Chakur,Ambulga
D1986,B3388,Bajra,Not Specified,31.65,2613.65,Sourcing Bajra in bulk for our processing unit.,2026-06-27,2026-09-15,Marathwada,Jalna,Jafrabad,Akola
D1987,B0352,Field Beans,Not Specified,31.22,2841.56,Looking to procure Field Beans for institutional buyers.,2026-08-04,2026-09-06,Konkan,Raigad,Mahad,Pachad
D1988,B3202,Cotton,Bt Cotton (Bollgard II hybrid),55.84,7969.75,"Standing requirement for Cotton, quantity flexible based on quality.",2026-08-24,2026-11-22,Khandesh,Jalgaon,Bhusawal,Anjansonde
D1989,B3331,Bajra,Not Specified,57.04,2435.84,"Standing requirement for Bajra, quantity flexible based on quality.",2026-07-11,2026-10-07,Khandesh,Dhule,Dhule,Kapadne
D1990,B0615,Groundnut,JL-24,35.59,7570.52,Sourcing Groundnut for export-quality grading and packaging.,2026-08-20,2026-10-02,Western Maharashtra (Desh),Pune,Haveli,Ambee
D1991,B0328,Gram,Vijay,26.99,6171.97,Requirement raised for Gram to meet upcoming production schedule.,2026-06-13,2026-09-14,Marathwada,Latur,Shirur Anantpal,Anandwadi
D1992,B2680,Mango (Alphonso),Not Specified,32.12,17624.59,Need consistent Mango (Alphonso) supply for ongoing operations.,2026-06-24,2026-08-08,Konkan,Raigad,Shrivardhan,Arathi
D1993,B4703,Areca Nut,Sumangala,7.28,45381.13,Requirement raised for Areca Nut to meet upcoming production schedule.,2026-07-13,2026-07-27,Konkan,Sindhudurg,Dodamarg,Panturli
D1994,B2062,Bajra,Not Specified,68.57,4310.36,"Standing requirement for Bajra, quantity flexible based on quality.",2026-07-10,2026-09-13,Khandesh,Nashik,Nandgaon,Malharwadi
D1995,B2656,Coconut,Not Specified,22.62,4055.43,Sourcing Coconut in bulk for our processing unit.,2026-05-28,2026-06-28,Konkan,Sindhudurg,Sawantwadi,Amboli
D1996,B4241,Areca Nut,Not Specified,13.49,48269.43,Looking to procure Areca Nut for institutional buyers.,2026-07-28,2026-08-15,Konkan,Ratnagiri,Dapoli,Murdi
D1997,B2417,Groundnut,SB-11,54.83,7539.02,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-08-12,2026-11-19,Western Maharashtra (Desh),Pune,Shirur,Alegaon Paga
D1998,B4261,Linseed,Sharda,48.12,6249.72,"Procurement need for good quality Linseed, open to multiple sellers.",2026-05-30,2026-09-13,Vidarbha,Gadchiroli,Armori,Bhakrondi
D1999,B2764,Coconut,T x D hybrid,16.4,4215.36,Sourcing Coconut for export-quality grading and packaging.,2026-06-08,2026-07-17,Konkan,Sindhudurg,Devgad,Shirgaon
D2000,B4403,Cashew,Vengurla-7,23.77,16321.94,Buyer looking to purchase Cashew directly from farmers.,2026-08-13,2026-09-17,Konkan,Ratnagiri,Rajapur,Avali Chiwadi
D2001,B0027,Chickoo,Kalipatti,32.4,2969.1,Inviting offers for Chickoo from farmers in the region.,2026-07-19,2026-08-15,Konkan,Palghar,Vikramgad,Alonde
D2002,B4188,Gram,Not Specified,21.62,4817.95,Buyer looking to purchase Gram directly from farmers.,2026-07-24,2026-10-19,Marathwada,Latur,Deoni,Ambegaon
D2003,B0886,Jowar,Phule Vasudha,29.5,3003.9,Bulk Jowar requirement for processing.,2026-06-21,2026-07-22,Western Maharashtra (Desh),Pune,Junnar,Ajanawale
D2004,B0337,Linseed,Not Specified,22.96,6891.79,Sourcing Linseed in bulk for our processing unit.,2026-05-18,2026-06-24,Vidarbha,Gondia,Goregaon,Bhadanga
D2005,B3468,Groundnut,JL-24,9.05,6766.79,"Standing requirement for Groundnut, quantity flexible based on quality.",2026-08-04,2026-10-04,Western Maharashtra (Desh),Satara,Koregaon,Ambawade S. Koregaon
D2006,B3521,Bajra,Phule Adishakti,48.2,3515.75,Sourcing Bajra in bulk for our processing unit.,2026-08-23,2026-11-01,Marathwada,Beed,Majalgaon,Pathrud
D2007,B1937,Cotton,Suraj Bt,45.38,9634.02,Seeking regular Cotton supply from nearby farmers.,2026-08-12,2026-10-25,Vidarbha,Gadchiroli,Korchi,Betakathi
D2008,B1665,Udid,BDU-1,72.49,6749.99,Sourcing Udid for export-quality grading and packaging.,2026-07-23,2026-09-20,Konkan,Thane,Ambarnath,Chinchpada
D2009,B3984,Sunflower,LSF-8,68.08,5766.67,Need consistent Sunflower supply for ongoing operations.,2026-07-22,2026-09-07,Vidarbha,Buldhana,Deulgaon Raja,Deulgaon Mahi
D2010,B1806,Cashew,Konkan Kalpa,11.89,16876.16,"Standing requirement for Cashew, quantity flexible based on quality.",2026-08-17,2026-09-20,Konkan,Sindhudurg,Dodamarg,Kumbral
D2011,B3655,Vari,Konkan local Vari landrace,67.79,4064.14,Need consistent Vari supply for ongoing operations.,2026-07-01,2026-10-28,Konkan,Thane,Shahapur,Cherpoli
D2012,B3150,Groundnut,Not Specified,57.31,5638.45,Sourcing Groundnut in bulk for our processing unit.,2026-05-29,2026-09-17,Western Maharashtra (Desh),Pune,Baramati,Ambi Bk.
D2013,B4027,Turmeric,Selam,12.99,9357.19,Inviting offers for Turmeric from farmers in the region.,2026-07-23,2026-08-30,Western Maharashtra (Desh),Sangli,Walwa,Ahirwadi
D2014,B1684,Gram,Digvijay,48.07,6282.16,Buyer looking to purchase Gram directly from farmers.,2026-05-24,2026-08-08,Marathwada,Latur,Chakur,Algarwadi
D2015,B1697,Bajra,Saburi,34.45,2674.85,Sourcing Bajra in bulk for our processing unit.,2026-08-20,2026-11-01,Khandesh,Nashik,Trimbakeshwar,Talwade Tri
D2016,B3848,Groundnut,Not Specified,53.13,7576.34,Looking to procure Groundnut for institutional buyers.,2026-08-01,2026-10-22,Western Maharashtra (Desh),Pune,Purandhar,Adachiwadi
D2017,B0180,Chickoo,Kalipatti,14.98,1893.47,Buyer looking to purchase Chickoo directly from farmers.,2026-08-04,2026-09-10,Konkan,Palghar,Mokhada,Poshera
D2018,B0733,Bajra,Saburi,23.06,2982.7,Sourcing Bajra in bulk for our processing unit.,2026-07-06,2026-08-21,Marathwada,Jalna,Mantha,Pangri (Gosavi)
